seed,num_customer_requests,num_robots,num_operators,utilization_time_period,num_delivered,delivery_rate,utilization_rate,num_risks
4568,20,3,2,[],20,1.0,[0.94553645 0.95165489 0.97216274],14
184,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.89857651 0.65474608 0.55355884 0.45796251],18
2269,25,2,3,"['0900-1030', '1030-1200']",10,0.4,[0.96497216 0.45033893],6
489,30,2,2,[],21,0.7,[0.96893519 0.95106803],13
1505,20,2,1,"['0900-1200', '1000-1100']",13,0.65,[0.92797119 0.44821379],17
8828,20,2,3,"['0900-1030', '1030-1200']",11,0.55,[0.93348342 0.4551461 ],12
1189,25,4,1,[],25,1.0,[0.92074985 0.85415646 0.83895063 0.85020532],23
4960,25,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",23,0.92,[0.89250908 0.89496672 0.44770191 0.42396502],25
7198,30,2,1,"['0900-1200', '1000-1100']",14,0.4666666666666667,[0.95609938 0.47547118],8
8877,30,2,1,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.95998358 0.45805889],6
1513,30,3,1,[],29,0.9666666666666667,[0.89426381 0.89883833 0.90386596],21
965,30,3,3,"['0900-1200', '0900-1030', '1030-1200']",21,0.7,[0.98046875 0.96357863 0.47199928],13
8402,30,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[0.94426581 0.71272335 0.54415302 0.45635077],11
9822,25,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.93072377 0.95132909 0.48495855 0.47517135],19
1621,20,2,1,"['0900-1200', '1000-1100']",14,0.7,[0.93913123 0.46451249],13
6885,30,2,2,"['0900-1200', '1000-1100']",15,0.5,[0.94586341 0.48083389],13
6140,25,4,3,[],25,1.0,[0.9248989  0.98549107 0.93963471 0.94745352],20
1858,30,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.94398698 0.97585887 0.44621784 0.44734418],16
7875,25,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.88872477 0.9015374  0.42323612 0.45646846],25
7998,25,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.92184905 0.94770968 0.42959713 0.48324176],16
887,20,2,3,"['0900-1030', '1030-1200']",10,0.5,[0.97574174 0.4708134 ],4
5694,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.97256365 0.66965203 0.54710609 0.43886352],10
4671,20,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",20,1.0,[0.96761335 0.93921825 0.45139284 0.49294411],15
1173,25,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.9716899  0.69152441 0.45552744],9
7089,20,3,3,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.94752775 0.90990099 0.45586933],17
8828,30,2,3,[],22,0.7333333333333333,[0.95760343 0.91243264],21
3752,30,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[0.93994826 0.68717798 0.551828   0.47461839],29
7413,20,3,3,[],20,1.0,[0.96113215 0.97242257 0.97149748],9
6363,20,2,3,"['0900-1200', '1000-1100']",14,0.7,[0.92351441 0.49944383],12
4666,30,2,2,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.95360457 0.46817828],5
231,25,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.92264974 0.66993218 0.45943423],18
4568,30,3,2,[],30,1.0,[0.91875895 0.95705116 0.94142561],29
677,30,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.94764398 0.6898803  0.45987349],8
2001,30,4,2,[],30,1.0,[0.9720099  0.92045657 0.94570766 0.9597357 ],22
9322,30,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[0.9740104  0.69666398 0.56301492 0.47859745],19
2520,20,2,1,"['0900-1030', '1030-1200']",10,0.5,[0.88795035 0.44678005],16
9395,20,2,3,"['0900-1030', '1030-1200']",10,0.5,[0.97459449 0.46346375],5
7181,20,2,1,"['0900-1030', '1030-1200']",10,0.5,[0.96371418 0.47678669],8
3752,20,2,1,"['0900-1200', '1000-1100']",13,0.65,[0.9222488  0.43919116],16
2001,30,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.95000961 0.67553957 0.45691806],15
1719,30,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.96840366 0.9327957  0.45549429 0.47851451],13
1791,25,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.96473779 0.97276346 0.4677005  0.49280376],12
4877,25,3,1,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.9283054  0.67172312 0.46200496],17
8721,20,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.75,[0.92430124 0.71622033 0.45536638],13
2520,25,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.87850467 0.69116081 0.54960836 0.42954731],25
803,25,3,1,"['0900-1200', '0900-1030', '1030-1200']",21,0.84,[0.94595351 0.933409   0.4748472 ],11
2313,25,3,2,[],25,1.0,[0.94546881 0.95782142 0.90277547],23
5503,25,3,3,[],25,1.0,[0.94667214 0.97339609 0.94729374],16
8828,25,2,1,"['0900-1030', '1030-1200']",10,0.4,[0.93268434 0.42783153],12
8575,25,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.97466875 0.94106981 0.45900998 0.45880938],11
463,30,2,2,"['0900-1200', '1000-1100']",14,0.4666666666666667,[0.95734108 0.48862078],9
5233,20,3,1,[],20,1.0,[0.89320201 0.91079574 0.86701691],17
4459,20,2,1,"['0900-1030', '1030-1200']",10,0.5,[0.94254144 0.44189901],9
2001,20,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.75,[0.9387832  0.67826931 0.45307091],15
1621,30,3,3,[],30,1.0,[0.96657754 0.95098039 0.90128144],29
3853,25,2,3,"['0900-1030', '1030-1200']",10,0.4,[0.9646483  0.46207945],7
7198,30,2,3,[],21,0.7,[0.98149203 0.95132453],11
9862,20,2,3,"['0900-1200', '1000-1100']",14,0.7,[0.97445471 0.47525829],8
3806,30,3,2,"['0900-1200', '0900-1030', '1030-1200']",21,0.7,[0.91884364 0.90837004 0.47166993],25
5657,20,2,1,[],20,1.0,[0.93489828 0.91640242],14
4459,20,3,3,[],20,1.0,[0.95271868 0.96380846 0.93975283],16
7875,25,2,3,[],20,0.8,[0.92395608 0.91274387],28
2269,20,2,1,[],20,1.0,[0.93200036 0.93707514],12
908,25,4,3,[],25,1.0,[0.9347324  0.97095621 0.95211786 0.92653984],22
8828,30,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",26,0.8666666666666667,[0.92081342 0.95143818 0.46775114 0.48233529],23
5657,20,2,3,"['0900-1200', '1000-1100']",14,0.7,[0.96312754 0.4377276 ],10
1125,30,3,2,[],29,0.9666666666666667,[0.90301222 0.96806838 0.98020706],24
1206,30,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.92584141 0.67730395 0.43929564],23
3285,25,3,2,"['0900-1200', '0900-1030', '1030-1200']",21,0.84,[0.95078554 0.89186491 0.44945267],27
1569,25,2,3,"['0900-1030', '1030-1200']",9,0.36,[0.88155977 0.47012028],13
4459,20,4,3,[],20,1.0,[0.92196879 0.97060818 0.97244595 0.94584462],14
3215,20,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,1.0,[0.94311967 0.7199565  0.56717609 0.46530963],14
8463,25,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.94837685 0.95273587 0.47929269 0.4622157 ],16
3816,30,2,2,"['0900-1200', '1000-1100']",13,0.43333333333333335,[0.93947858 0.45526159],11
8828,25,4,1,[],25,1.0,[0.89117445 0.8295756  0.81746423 0.83203125],24
1791,30,4,1,[],30,1.0,[0.9386799  0.92520967 0.93508835 0.92810066],17
3853,25,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.97109184 0.68508287 0.49090082],8
8721,20,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",20,1.0,[0.96343179 0.93467337 0.44530569 0.4552639 ],18
3806,25,2,3,"['0900-1200', '1000-1100']",13,0.52,[0.9172947  0.43610698],16
677,25,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.8,[0.93116966 0.91916001 0.47950524],13
1694,20,3,3,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.92400624 0.914361   0.44672897],26
1429,30,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[0.95804647 0.71301198 0.56061793 0.45243688],15
5600,25,2,3,"['0900-1200', '1000-1100']",14,0.56,[0.9481245  0.48960044],10
8463,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",22,0.88,[0.98882682 0.69125336 0.57029857 0.4840948 ],12
